Method	Compound	m/z	RT (min)	HMDB ID (*representativeID)	Metabolite	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	QCP02	S21	S22	S23	S24	TA	TB	TC	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	QCP03	T14	T15	T16	T17	T18	T19	T20	T21	QCP04
C18-neg	cmp.QI1772	243.0653	2.90			4090	1831	4306	39	2068	2107	692	903		30	8039	4903		5350	222	52	5999	346	104	6348	2484	653	7898			4214	5204	3853	2465	432	1390	1443	2938	2348	3690	542	1401	1126	2521	808	2211	1817	2882	4891	3310	1962	1697	3205	2152	3490	3420
C18-neg	cmp.QI1773	243.0801	1.29			19769	32527	32163	46610	2498	58892	32448	31552	110494	1153	59615	69481	38772	22166	19463	1524	60719	45116	37399	31171	24044	31948	38308	15963	38408	20224	12678	21793	12890	4526	1015	3401	3353	2842	9852	836	3438	4093	22846	18451	3503	22611	7627	749	457	10793	4540	17010	4613	17945	21535
C18-neg	cmp.QI1774	243.0865	0.72			99189	81298	33650	97480	38342	70119	51758	36404	52159	37322	223464	163620	59478	171464	74094	21100	182328	61498	69622	98337	75969	91417	176284	23292	28521	89842	80581	66248	62339	40840	48067	40604	66818	52082	65172	31567	48358	25376	78613	38870	47609	50659	85661	84793	73306	63474	49909	84261	122942	92287	80446
C18-neg	cmp.QI1775	243.0866	0.86			31366	34178	19748	33618	25647	31695	25320	11544	25109	20604	87243	78064	28006	75102	34787	17301	84136	32153	47367	56471	34202	41211	84266	13170	17207	31888	39152	30858	27857	18143	16751	20887	26366	21494	30501	17644	25485	13792	37364	16087	24464	20287	31108	38787	27640	24413	26995	32647	53594	30641	33255
C18-neg	cmp.QI1776	243.0977	1.30							344	760		373		1386	343	425	2270		48	648	2008		211	905	2008	2607							76	1468	2910	974	2199	3150	2944	581	195	3527	1790	1150	4288	4671	3834	3739	6017	9505	3956		565		1482
C18-neg	cmp.QI1777	243.0978	0.86			6583	3119	3246	7978		10984	12755	4262	10017	443	3180	2966	2529	6361	3228	485	1849	1633	6299	2336	4724	6801	1964	817	3912	5635	1453	3952	2619	6086	4721	3634	4675	6396	6073	3353	2026	7374	5715	6394	8807	9204	9100	5661	8693	16261	8552	3676	1599	4674	8033
C18-neg	cmp.QI1778	243.1228	5.15			479913	128322	284090	271013	129965	164212	249959	358103	224590	122612	251562	386744	208463	186322	285042	147851	430090	178474	152526	71166	277434	220079	319215	182375	259825	451109	373281	339343	175612	221951	167808	132695	201048	237981	226269	98260	144004	184817	280310	230425	295891	489895	379361	348684	173368	519981	145713	272442	273779	363390	283727
C18-neg	cmp.QI1779	243.1228	3.98			3933	18663	655	30916	12210	262110	5392	15953	5701	594	73523	122579	88064	2178	2674	5140	9967	25419	2735	434	30095	40198	1015	35790	5420	4013	38786	15107	9599	10815	43875	10681	15792	9095	9556	12227	6118	6726	30173	6788	97622	47345	8652	39705	38843	22042	4715	16490	40847	32833	28400
C18-neg	cmp.QI1780	243.1228	5.43			9641	3084	1424	4894	5800	4088	5657	4052	3900	2109	7307	2845	3771	2188	2400	2087	7491	1342	2714	1310	5223	2524	3115	2262	1970	9773	9085	8584	6088	6501	4780	3870	6102	4787	5758	3808	4743	5408	5500	4260	4804	5791	6138	7622	4607	6248	4380	6107	6833	5132	5083
C18-neg	cmp.QI1781	243.1229	4.58			902	486		1473	237	69287	300	440	142	1363	270	1748	747	238	122	388	604	898	28059	1241	1821	626	271	237	384	808	1630	826	280	346	568	555	1129	962	483	801	540	827	2712	669	805	1054	416	756	454	497	767	529	3904	629	2459
C18-neg	cmp.QI1782	243.1229	1.75			615809	1692738	5873	308330	59559	114062	383860	267231	316537	14043	503443	611008	90547	119739	52255	2634	131594	87440	44607	259544	372123	61607	620840	101235	72014	589444	277406	392181	296890	566920	484851	464996	537283	562670	758149	442805	328001	179156	373425	785397	357097	346541	393475	309428	64744	350032	135240	593222	201770	937432	376510
C18-neg	cmp.QI1783	243.1229	1.21			62470	26390	22362	26761	30701	17621	11723	74501	20575	17588	11279	16578	22888	25368	5921	4930	28422	19139	42104	2835	30077	9547	23891	10292	12148	60047	38124	38618	28212	23190	20898	40927	36680	22639	18727	21245	18817	20283	29256	68662	24666	18964	20427	22213	29283	42204	21885	47732	12414	56214	28349
C18-neg	cmp.QI1784	243.1229	1.57			2631576	2403868	8196	1193015	286487	233295	430365	1656460	3351860	304737	1615375	617689	715913	2302036	271233	4417	1956211	98615	89562	60525	1251146	312017	1178621	2042027	1472950	2541307	1013341	904720	402893	1109810	972875	855847	1070954	1039636	1586114	719036	519605	730414	1253180	2338498	1236083	2351163	2299212	1011709	676747	1888828	866722	1098378	1735090	2694760	1223353
C18-neg	cmp.QI1785	243.1229	2.39			1937	2032	2068	3464	846	4040	1992	3915	2026	581	3574	1981	1440	4082	465	1217	6384	461	922	426	1754	1131	3449	4916	2106	2063	1389	1637	1082	1098	994	664	1218	1416	1702	880	1024	1102	1843	1260	938	1714	1339	1378	689	1632	807	1747	1472	1939	1778
C18-neg	cmp.QI1786	243.1230	1.03			42557	67012	90634	31282	36539	31142	17629	89363	28698	9535	16370	19619	23053	11755	8175	6357	29654	22157	17106	32478	32328	14621	20889	15892	25562	40557	35940	49563	47545	51689	33598	45355	51595	31380	28462	39622	32275	25445	31985	92303	37178	23124	28418	24749	17951	38953	26558	44755	20815	48542	34552
C18-neg	cmp.QI1787	243.1341	0.91			10032	11367	14816	8428	1002	15403	32376	15113	7496	3958	821	906	5309	1633	4280	595	3942	1124	6543	2835	2794	3124	489	9888	2430	2191	922	1996	1546	2848	1439	1556	2177	2067	1221	769	354	1835	2598	1852	2364	5209	3308	1851	2010	3620	1589	2379	1969	1196	3812
C18-neg	cmp.QI1788	243.1592	8.56			15047	22646	11191	26558	17126	23875	16520	9903	12537	17986	28305	17655	12634	19940	23063	15659	31820	10096	12330	9884	17226	10592	19622	45840	13617	15089	17893	16669	14771	14610	18114	12008	15791	13431	16322	14636	22230	17379	18039	13963	11422	10416	13880	15958	13286	14791	13899	21798	24165	13677	17381
C18-neg	cmp.QI1789	243.1592	8.40			287978	251586	269120	293283	274898	295408	285253	278336	290678	259159	311630	285357	258375	224278	266038	283686	268244	255009	246001	254746	265614	258942	322712	369940	314690	282850	241121	258844	256648	253596	247987	242072	247453	243483	242149	246342	238101	249698	263132	251818	249315	241374	286655	249605	247899	373584	254440	248571	248653	288628	260838
C18-neg	cmp.QI1790	243.1705	1.26			4006	8331	13669	28469	13995	5677	11128	6408	7187	108683	7867	6759	7312	5250	14688	6362	15578	3351	141063	31518	28178	7239	3627	122591	8300	3104	7489	11437	7974	29962	24173	24587	68783	44285	13657	47291	29398	66736	25661	4063	24566	60608	39293	32146	21238	25840	21133	3820	94358	3909	26227
C18-neg	cmp.QI1791	243.1706	1.08			4204	12100	107641	158454	46562	13937	27415	19553	16511	631364	38882	30732	77429	25452	82887	27476	147510	26994	1161562	476191	86973	32578	14787	423133	69523	4549	16374	28536	18638	43007	26057	38615	64844	63768	24770	62675	29740	81638	82400	7869	41523	104920	64362	36446	19809	40619	32144	9202	162281	7346	85546
C18-neg	cmp.QI1792	243.1706	1.01			3252	6757	52396	71110	18196	2084	23413	4158	7167	293816	21634	25312	62980	9239	56156	20872	74872	16280	478390	230963	42263	17685	4551	218570	34116	4742	10986	15000	12995	17703	13568	16393	19805	30207	13049	20667	10256	38240	44827	4608	20172	48882	28449	16765	9223	15486	14323	6822	54457	5273	40745
C18-neg	cmp.QI1793	243.1955	9.87			6351	3760	3202	2653	6157	7432	4823	11673	3313	4270	8025	1734	2170	3569	4439	1938	11409	2200		182	5455		1618	11763	4961	6573	4102	6279	4714	3616	4880	5348	4762	6752	8375	5612	3930	3042	5853	4706	4187	4188	4236	4928	4096	7585	4098	10849	3236	6661	5051
C18-neg	cmp.QI1794	243.1955	9.72			9973	6016	2813	3866	7079	16002	5668	6948	5612	6220	6444	2587	2298	6009	2816	2797	4082	1705	2472	3286	10194	2409	2778	9521	10395	9889	7958	11186	4615	7919	21395	19764	17155	31456	23737	24140	22284	5194	9389	4469	4724	4432	7131	5761	5695	6960	4115	7075	5770	5499	8897
C18-neg	cmp.QI1795	243.1955	10.28			229850	40239	375618	37340	327148	36151	166006	1408475	83416	30809	48927	31224	58752	17370	100560	15453	142067	10290	55216	93175	164762	42392	7503	125339	196557	212349	103080	92483	88053	116538	113270	150190	103966	247791	225174	260871	138924	72830	165688	160546	104078	120369	95582	135579	69540	181190	55464	520986	44525	323760	159730
C18-neg	cmp.QI1796	243.1955	11.66			45831	38778	17394	18183	22100	40910	17554	28068	21584	31885	20687	31869	40400	111739	30201	22762	35645	24691	21103	47150	40000	124809	57966	24156	20096	39100	31765	35110	30965	26898	23689	37462	30535	92967	78062	49421	30752	26999	40394	41335	34347	40627	27169	36508	25492	46679	22967	61454	15159	55491	38085
C18-neg	cmp.QI1797	243.1955	9.44			16187	16725	15317	15096	15391	22190	14864	14439	15355	21136	16932	18410	16941	16753	20293	20398	17168	17211	17271	17176	17610	18056	16280	17930	17138	17222	16999	18633	18108	16110	17077	17456	17945	17574	17441	15968	16321	16679	16718	16854	16492	17320	18258	18326	18644	17971	17975	17094	17271	17583	18308
C18-neg	cmp.QI1798	243.1955	10.06			4907	4802	4779	5126	6970	11386	3976	10274	3212	6184	5439	2638	4397	5279	4691	3486	7666	1782	4527	2021	6144	2952	2020	10110	3679	4900	3999	8558	5992	6625	8733	9091	7193	12575	14131	10551	6836	5515	6796	4991	4994	3823	5092	7242	6707	10086	5915	5948	5111	3604	6875
C18-neg	cmp.QI1799	243.1955	9.19			5698	11188	408		222	3826		671	403	208	32	386	236		37	279	137	31			967		124	764	78	5175	6163	2787	284	97	111	427	291	112	114	105	113	183	1223	436	341	499	550	507	198	240	121	2957	1502	911	1106
C18-neg	cmp.QI1800	243.1956	10.57			32226	15282	9557	31286	19069	51957	18391	59524	37140	16733	32049	26913	15254	30088	16903	7197	39720	14396	11077	7050	24447	22286	27371	49788	31250	28772	23373	30167	21664	16663	14112	15521	13841	20092	22326	16909	15563	13558	25188	24028	19966	27756	30758	27354	18667	30902	18184	24298	14509	28491	24928
C18-neg	cmp.QI1801	243.2226	14.11			106014	29595	13807	15871	8854	150193	25671	17474	175159	17760	64470	53901	32271	95056	27647	7650	46379	30853	84217	37090	49786	52685	58297	56217	12005	91495	44935	46712	19735	21684	8057	6072	11115	12075	40005	6314	3593	9933	44396	30738	26894	100815	65281	15034	8699	86145	50161	53096	52116	85128	43719
C18-neg	cmp.QI1802	244.0639	2.16			4384	577	5765	2059	1214	598	49260		3138	1523	1187	130978	3136	956	38517	5994	12874	1348	4166	39649	12321	648	533	474	1222	4402	4505	22033	39393	818	4518	5189	5213	6419	5620	7522	10270	6391	12968	9275	7016	8470	27540	5994	9634	6907	21021	957	2173	2229	13929
C18-neg	cmp.QI1803	244.0640	2.31			4225	277	2744	1503	732	47	41244		418	1221	2377	115052	2198	373	25023	4071	8650	811	3754	25054	9298	297	304	117	38	3938	2599	19565	32739	390	3329	3492	5213	4829	4875	4474	7353	5028	9504	6275	5386	5665	19274	4137	6194	5048	13363	762	2013	2045	10426
C18-neg	cmp.QI1804	244.0640	1.70			3384	4131	6033	478	2452	2338	23226	184	7311	707	74	700525	1091	554	6717	7013	26348	9971	9397	2825	26236	1827	32	562	4201	3908	10876	17216	31630	1157	2107	6246	7161	4117	4349	27442	44496	33550	26015	46876	22441	23665	34995	13410	19467	19467	21528	1545	19792	3066	26207
C18-neg	cmp.QI1805	244.0641	1.64			299	835	740		90		2714		733	48		95874			933	871	2579	1217	1077	150	3210	120			480	192	1541	1776	3517	144	184	819	1066	567	394	3119	4646	3211	2863	5061	2608	2458	3892	1929	2041	1951	2329	167	2155	251	3084
C18-neg	cmp.QI1806	244.1294	0.69			7003	6563	19502	32211	6171	2661	7792	8785	14247	55056	26656	15105	37393	22201	23906	7582	37026	17548	101413	64609	17313	15212	5553	64676	8761	4779	6372	2288	3522	6148	5003	3181	8596	13164	12216	11302	305	18380	22145	4127	9400	27871	17339	1887	6213	10345	3264	2875	16508	5145	21325
C18-neg	cmp.QI1807	244.1659	0.59			1136	1236	5324	5201	3524	3151	5279	2545	344	72665	1828	18236	4708	1068	110007	19442	21527	1512	203912	49873	24560	12740	268	26504	1702	1290	1742	7701	9435	18017	74918	7165	88036	11296	4968	18812	45186	17151	23343	3227	8577	17392	23901	21640	45273	43246	26971	962	47861	944	24956
C18-neg	cmp.QI1808	244.8967	0.67			28485	33461	15502	72201	25838	27865	31579	45928	23690	65220	28504	41196	19700	39754	66869	35815	20715	22703	729	23738	43755	38802	43896	119839	64445	27048	41911	35150	44630	37795	69614	52825	46100	33915	12178	46567	88593	29664	41416	35342	13247	4962	13751	32202	54842	7857	28337	50564	32600	23818	41860
C18-neg	cmp.QI1809	245.0117	1.20					19155	41	45437		59	11166		192351	21	336	19284	61	98473	196426	56	139	92716	244465	91616		178		114		94502	25114	59779	25252	70374	114595	234154	169444	21835	46994	78768	94495	90523	31688	23930	135	2995	22705	49646	230	56178	233	49599	747	90030
C18-neg	cmp.QI1810	245.0423	0.75			1660		1708		3800		1191			18092					1076	16155			8834	5527	19705	533		10145	469	3148	8807	30068	14472	45691	74573	79678	103295	23134	15479	124882	55988	39266	20725	9482	9820		2114	38198	10370	5900	91428	610	6671	8248	19126
C18-neg	cmp.QI1811	245.0425	0.69			4713	2217		4557	1015		4869		1145	4814	2028	4386	6146	3808	12919	4699	1857	682	479	3213	3622	6505	1850	5679	953	1057	2030	6591	4459	4670	5990	6003	7188	3626	1052	8652	5234	8372	3320	3508	3389	362	328	5499	8217	2316	9351	3384	2756	2098	5534
C18-neg	cmp.QI1812	245.0658	0.72			179610	193077	82537	138390	100275	95338	163210	36629	147428	66596	332019	406253	166338	268989	110652	766058	294334	141809	146740	201847	179675	252632	342928	70164	85145	183997	191545	122580	153362	71207	50265	62536	87913	62953	105746	44191	70937	48409	182894	75192	132608	150927	165393	236225	139422	136184	102593	155170	219014	198846	173129
C18-neg	cmp.QI1813	245.0658	0.86			50876	49570	23547	32722	28497	15767	24923	8309	31933	21325	106646	107236	34373	73194	30654	24769	79931	35067	55318	71984	45333	52833	115296	20309	17295	50694	56151	34732	44528	17789	17465	22162	28561	21411	31513	16742	32149	15364	41002	19244	29457	34541	38411	56382	36996	35355	30706	47608	62899	56347	43509
C18-neg	cmp.QI1814	245.0922	2.49			1178	2404	91	1881	2315	3406	1147	413	1784	3932	5916	4280	1521	4762	1682	4709	2273	1088	1968	18180	3021	1054	3783	761	1147	1084	1796	2076	1935	2051	4300	3189	5125	2413	1769	2928	2540	2256	3155	862	2659	1784	2711	4722	4233	2749	5485	1185	4113	1088	3256
C18-neg	cmp.QI1815	245.0923	1.08			24547	21803	11813	36362	15310	27909	23284	29729	27779	29714	17481	50766	26678	31456	14448	22367	70914	14716	42220	8897	25222	39922	15164	32672	23991	23250	20820	25234	11294	20394	20934	10382	19322	10047	10529	10840	11179	11477	22962	19727	21841	32096	41027	21265	16744	17968	16905	13398	16852	15381	23899
C18-neg	cmp.QI1816	245.1134	0.85			13468	10346	21805	20727	9538	16198	18168	8388	45038	75012	36688	31499	86635	59429	156365	40659	53075	44359	134702	86275	32970	63278	18178	204223	17793	12126	14455	12920	10004	13240	12395	9888	14526	20984	18043	14902	8188	24691	30999	12733	18656	26042	15204	14747	21431	15802	14926	14122	17251	13736	33438
C18-neg	cmp.QI1817	245.1134	0.70			44881	31913	64460	57369	26924	90096	56591	32936	108321	233692	91063	76126	150330	130580	223728	53250	142515	92584	409668	140637	83820	115984	47534	267118	45302	38283	32589	33659	27611	36412	32263	18358	34285	46788	48346	28718	15043	56737	79038	31343	59855	83316	54277	40174	56216	60316	37875	32092	47963	48080	87745
C18-neg	cmp.QI1818	245.1286	3.16																							300057								21										303146										10458358		301351
C18-neg	cmp.QI1819	245.1286	5.00																							66559																		70466										2205885		70328
C18-neg	cmp.QI1820	245.1286	4.77								50															49453																		46051										1702717		50366
C18-neg	cmp.QI1821	245.1286	2.97																							89143																		88142										4027810		90997
C18-neg	cmp.QI1822	245.1384	5.13			2692	13677	418	24467	35978	141667	8498	45357	12815	584	45165	36887	68461	887	2268	3130	7559	101857	239		28367	32420		15487	4454	2828	25810	11755	43278	28990	106551	47109	67699	8890	8554	7643	5543	6883	26631	6428	95048	37377	7836	43501	39364	21347	5238	6071	34916	17173	28100
C18-neg	cmp.QI1823	245.1384	3.00			59169	5407	23360	12802	10043	34680	11833	12654	21755	5360	17338	9372	12881	11670	4268	4584	16087	7737	6175	4436	14433	9328	9127	15523	25993	55141	26863	14001	6133	4349	12861	10289	16902	7388	11266	9504	12208	9557	13338	17339	11124	13066	12010	5453	5013	8836	5468	9401	5112	15682	13575
C18-neg	cmp.QI1824	245.1385	5.21			29207	12001	26272	37453	74573	331351	15334	113236	11332	2503	27054	38298	213429	3324	11818	3931	19552	246997	1090	760	68763	68870	5575	35861	14251	31143	101213	87931	54939	32156	162300	47322	70953	22478	16811	18937	17427	17472	69228	26922	363974	318316	46268	156836	25145	38231	7097	9145	47759	96787	68878
C18-neg	cmp.QI1825	245.1385	4.42			140368	50757	134178	199244	84955	135550	128924	105504	86213	50465	214257	356451	66621	194434	80780	107902	233989	115145	52599	73998	124148	126531	413671	372965	195995	140408	138098	55406	62866	51780	36078	49232	64316	79060	20185	36016	63989	36228	124012	60646	77293	95250	83450	94061	56770	63404	33039	92323	97045	126995	125075
C18-neg	cmp.QI1826	245.5637	5.04							2880					15168			41753			97528				4438	7387						12995	3906	5017	9323	27253	9002	19380	10764	5948	5285	3314	7655	6871	1512	5284	1318	1946	16132	9263	2634	8313	213	122	24	7198
C18-neg	cmp.QI1827	246.0409	1.12				268		967		325	249225	1281		659			349	622			1731		5201		24243	77		181					38	33	28	30				56	110		22901	123		31	250			89		74			24959
C18-neg	cmp.QI1828	246.0433	0.75			92002	127068	55161	167225	14209	76151	168025	27812	80822	157469	53808	179773	144564	291972	30222	36675	300341	80500	902624	13943	96421	115072	43626	33057	62205	113754	52263	64016	42861	25702	66561	43868	100101	50611	19428	15128	16129	25257	92908	40980	56783	101846	198028	136304	79116	62573	54801	41425	60226	47476	89438
C18-neg	cmp.QI1829	246.0435	0.86			33607	40428	13672	65079	4719	28561	66323	10620	28121	89498	18194	65831	57192	105855	12182	13285	106541	24483	396633	2632	35826	34999	12391	12851	16147	32627	17970	18842	13990	9366	21005	18067	32305	20148	7730	7128	5165	10111	33704	14938	19274	29426	63186	45252	31308	21508	24180	9544	21715	15828	34721
C18-neg	cmp.QI1830	246.0435	1.01			9113	19456	3293	26202	3787	17038	20040	3324	6631	33542	2268	14917	19404	42756	1432	2994	53431	5258	196742	317	12322	8192	778	4442	4192	8444	4835	6930	5004	3380	8728	6787	12351	8497	2780	3341	2361	4062	12794	6758	6573	9199	23951	16446	9231	5545	5273	2474	4388	4638	12488
C18-neg	cmp.QI1831	246.0653	5.04												2248			7724			17103				372	862						1968	179	243	1678	4886	1621	3064	1818	676	706	275	1310	961	29	686	19		2302	1359	33	1281				715
C18-neg	cmp.QI1832	246.0739	3.07				897	1399039		61483	165755	641716	74665		507727	633	133	806817	373	146548	37475	84		1604209	658816	122190	285828	367			21	45337	69542	18477	3291	28626	34613	70124	50526	10165	15744	14020	10844	122594	1487	21072	19	3844	124897	122376	5515	22013	1201	439755	70	123825
C18-neg	cmp.QI1833	246.0763	0.92			2983	1528	19522	1022	3314		673	7308	530		3409	1597		847		150	238	778		3605	1742		1093		353	2180	2974	898	689	1044	104	776	653	187	463	416	2392	2245	1634	2052	1641	1586	1224	454	639	2589	990	877	2246	2905	1879
C18-neg	cmp.QI1834	246.0763	1.18			4334	24315	2377	5769	53120	1500	7656	1401	6123	252	9284	15580	85	4122	1247	164	2590	649	748	37525	6086	958	12119	213	1062	3445	1869	4307	15262	16204	6810	1484	925	2987	3220	2412	3335	777	5400	2674	7559	3920	4903	5873	837	258	1277	7707	4635	2745	6174
C18-neg	cmp.QI1835	246.0976	0.70			13113	11892	6986	14426	5298	20802	12043	9969	25564	4091	30786	18947	24371	35171	22184	5217	22696	14502	28122	38910	12569	19826	20757	12717	11356	15709	8234	6244	8491	7365	4862	2841	4290	6119	7231	4339	3322	10299	17295	6974	15134	24151	24316	17547	13365	17059	16830	8244	8978	10345	15800
C18-neg	cmp.QI1836	246.0978	0.87			5914	6783	3873	3773	635	8011	4961	3365	9070		6129	6283	4999	9638	5333	2707	3486	2771	4320	4093	4069	5370	4158	6512	6758	4425	3815	6006	5219	4299	2716	3385	4441	3542	5956	2821	3042	3362	5213	4429	4043	4937	5501	4980	3340	4623	4472	4343	2218	4290	4463
C18-neg	cmp.QI1837	246.1452	0.59			3351	2343	6210	10455	1728	1008	8518	1141	2274	10685	772	2476	3017	508	4381	2038	4688	1154	16098	4372	2885	1205	270	9640	1504	1021	1703	1215	1059	1507	1126	640	1526	1562	1046	789	442	1895	2417	635	1843	3146	2857	1539	1226	2114	1477	855	7120	913	3373
C18-neg	cmp.QI1838	246.8855	3.27			1110	1081	1075	1048	936	873	838	995	768	2235	1746	1743	1936	1478	1688	1828	1502	1797	1199	1238	1238	1358	1155	1365	1267	1085	1108	1866	1562	1626	1596	1360	1333	930	1422	1359	1434	1364	1122	928	1089	1231	1305	1151	949	1148	1041	1336		1026	1534
C18-neg	cmp.QI1839	246.8855	3.66			1135	1378	1419	1484	1327	866	1100	559	1013	3002	2062	2194	2387	1443	2161	2381	1436	2302	1474	1221	1503	1739	1056	1318	1705	1180	1228	2904	2851	2864	2825	2566	2295	2422	2191	2583	2528	2465	2120	2355	2061	1840	1492	1551	1528	1376	1758	1520	992	1234	1721
C18-neg	cmp.QI1840	246.8856	4.04			1383	1275	1120	1151	994	957	949	933	868	2311	1763	1633	1880	1510	1676	1894	1431	1776	1398	1135	1279	1402	945	1103	1303	705	1080	1460	1553	1642	1600	1576	1551	1252	1235	1405	1239	1273	1397	1328	1456	1090	1062	1126	1384	969	969	1141	941	970	1536
C18-neg	cmp.QI1841	246.8856	3.60			1157	1355	1038	1464	977	999	895	712	817	2609	1956	1820	2127	1582	1893	1846	1054	1820	1284	1428	1407	1333	1046	1526	1495	826	1101	2123	2226	2396	2051	2301	1905	1963	1948	1883	1732	1751	1494	1797	1653	1761	1507	1412	1551	1557	1465	1304	986	974	1180
C18-neg	cmp.QI1842	246.8858	0.53			1308	1386	1266	1301	1000	1060	1025	1021	938	1213	2141	1596	1429	1477	1577	1348	1354	1662	1196	1276	1053	1204	1100	1133	868	865	885	1525	1495	1537	1668	1453	1432	1486	1278	1260	1452	1266	1214	1160	1417	1656	1242	1144	1293	1216	1090	1052	1106	857	894
C18-neg	cmp.QI1843	247.0216	0.70			7010	1948	8818		8131	10003	1376	4036	10707	1485	588	5201	8237	4503	10493	10829	3449	8425	880	1147	6699	3966	334	1031	636	4196	5539	21935	11426	5150	415	6460		9750	4350	8468	2686	6890	9805	9181	3305	2308	1553	7148	1318	1820	8909	6159	4218	4638	6841
C18-neg	cmp.QI1844	247.0582	0.92			5760	3211	692	962	4833	48516	425	2777	286	69	9492	5828		5698	876	6160	2972	338	685	3741	7067	86	6375	871		4523	43933	13544	4756	19119	22771	2130	1650	2562	52528	153	1474	9743	7568	26522	1418	1381	1951	2893	2304	2392	833	6573	3646	3302	8237
C18-neg	cmp.QI1845	247.0582	1.00			1743	1993	47676	607	4332	17003	2001	1057	1201	2423	4212	2651	297	2389	115	4630	1960	1308	11808	3214	2864	7419	2286	688	172	1303	5973	1913	5931	6953	7732	3965	4920	2848	11087	3016	4832	5717	3858	6617	2334	1241	3149	5136	3663	1638	2454	2200	3988	1981	4569
C18-neg	cmp.QI1846	247.0715	0.89			42270	32693	3496	12502	32735	12129	8790	27235	7465	7940	83047	42838	4686	64639	3465	8568	44685	13294	26941	48471	26412	11121	70990	1380	4286	40899	32106	23389	28892	11504	14675	10436	22226	14544	19080	6208	22280	7974	25320	9011	15694	16417	21860	29911	33016	30437	23865	34286	55093	30542	25227
C18-neg	cmp.QI1847	247.0815	0.85			11805	18985	6660	14190	8271	4888	10206	5638	7617	3233	35367	30059	11547	26376	14891	2395	26688	11085	9889	24687	11347	15399	36724	7008	27704	10692	14739	8003	10401	4839	6412	7672	9919	6239	9628	7378	6785	3683	11703	4858	9233	6930	9262	14639	9591	9188	8685	12479	20603	11922	10611
C18-neg	cmp.QI1848	247.0815	0.72			64064	85144	49702	73862	38263	51343	65688	21719	58315	14922	162361	149589	78686	127003	68834	12402	137291	54795	42793	83796	56227	89324	143302	21782	83698	59459	61288	48398	45227	27171	23080	24338	33853	27355	46422	15401	23356	20587	60664	30118	54259	55861	64877	74037	53244	55928	42809	52596	97516	52786	60842
C18-neg	cmp.QI1849	247.0942	6.39			24476	740	3505	11	644	9036	3276	23996	10720	40	6368	0	1590	414	6	2336	3130	1504	226		6708	38	10670	1371	1657	27526	32107	12305	2418	2055	1450	2404	1631	2197	4073	2304	9895	10984	5785	15107	4888	5717	3737	1708	5212	5878	1088	11730	325	31655	6787
C18-neg	cmp.QI1850	247.1179	1.54			38687	16466	27125	25720	14924	109821	38499	26146	62283	15206	28905	21301	33832	15380	45896	10759	40033	12173	43705	9494	36896	43145	56345	17208	16001	40945	33518	30793	22997	26491	21345	19778	27512	30954	26822	15221	21074	21648	34692	32124	30854	48825	48026	37501	22655	58054	22250	30504	43878	37187	35111
C18-neg	cmp.QI1851	247.1542	1.74			15338	10241	10787	17048	13350	47937	9433	14787	11956	4719	12837	8846	12510	11132	7008	5665	11299	3221	3843	7557	10050	6233	17751	10450	17288	13954	13509	10636	5844	6918	5277	4046	6087	5602	5518	4036	11544	13112	11652	5865	6274	9351	7967	6569	4199	6853	4558	9307	23739	12986	11785
C18-neg	cmp.QI1852	247.1694	11.89			3038	1002	4342	8310	2898	23955	2720	2042	41716	1935	21845	15460	10039	5818	6906	400	23239	8653	16207	1735	7099	11826	13743	7823	6292	2820	1972	2691	1079	523	388	542	944	826	2408	690	548	891	6925	1589	1191	2703	1923	1704	1151	2278	936	1691	479	1897	6712
C18-neg	cmp.QI1853	247.1694	11.19			42407	63948	49617	65223	59409	49445	69367	53426	56160	96797	80286	77282	72334	57647	89351	44597	71445	66990	108347	71362	36613	60825	69609	40986	91322	87044	70605	60485	31640	49314	41805	45633	34259	45885	43921	32527	51389	44036	38177	52924	47652	46384	41585	47738	37209	47152	47928	68229	61100	85367	35155
C18-neg	cmp.QI1854	247.1695	12.52			3815		1368			2933	1215			268	118		463		908		1105		2709	1109	3060	48		302	752	2813	2349	10800	7816	6716	30309	9342	31922	11896	19010	16756	18241	8887	3116	3921	13520	736	2456	21388	13914	7086	9504	3094	2927	1697	4719
C18-neg	cmp.QI1855	248.0087	1.65			8476		3424	4980	5699	6385	1184	13854	544	1783	1668	6267	5533	5087	1978		1706	736	2782	54	5822	2433		29487	6442	9416	5845	6134	5185	4422	3105	2746	5830	2795	1863	5308	4910	3291	5516	9478	10205	9772	4158	6068	1894	2598	3780	8579	1495	8479	5945
C18-neg	cmp.QI1856	248.0226	0.71			2365	5951	5682	15824	39523	29050	121526	2046	7901	54599	22337	8617	27952	10301	5281	114199	26835	34383	653259		26574	12076		1693	22662	2950	6451	11802	3554	4671	26935	46112	16147	41272	3680	8466	55056	12754	30476	5637	10653	6179	6729	15546	23444	2429	4064	865	62414	1950	32828
C18-neg	cmp.QI1857	248.0714	1.35			3150	6315	144	1328	6441	415	778	890	250	634	13861	9272	1664	9476	372	840	14086	2211	3209	8510	4793	1546	14204	591	97	4909	3877	3508	8548	924	2219	1720	2242	1172	1272	556	2350	530	3347	637	1398	1838	2090	4340	3008	1136	2025	4852	12562	3409	3613
